,concept_code,concept_id
830,c793f42e-aeb0-46fe-b372-99f76d688cf4,45798706
831,MMR BOOST EX,2000137466
832,N0000185225,42874510
833,831261000168102,43333695
834,F034C00,45420253
835,792896000,37311478
836,308081000000105,44792012
837,OMOP475667,43160157
838,MMR-II,2000106058
839,OMOP719175,43846149
840,OMOP955959,43855701
841,OMOP507068,43176036
842,OMOP719187,43666379
843,OMOP990124,36883455
844,OMOP185834,44557511
845,378594,40065968
846,OMOP378320,21158545
847,OMOP2434227,41236265
848,OMOP506912,43186912
849,OMOP719165,43630195
850,34938511000001103,42532431
851,33329007,3060116
852,N0000187389,43561108
853,N0000185197,42874482
854,N0000188081,43561800
855,N0000188136,43561855
856,N0000189020,44785958
857,N0000184539,42865155
858,MMR VAR#2RTE,2000137486
859,N0000190361,44815257
860,N0000190345,44815310
861,159701,45949557
862,N0000190401,44815370
863,1007402,36027525
864,N0000188800,44507216
865,1008531,36028610
866,90705,2213464
867,706341000168106,2972117
868,572481000119103,3371155
869,147607000,3099330
870,5-685.43,42775818
871,396429000,3195174
872,557146715,1221713
873,OMOP955965,43819604
874,OMOP707927,43679184
875,measles/mumps/rubella/varicella vaccine,2000106995
876,^MMR,2000099431
877,252991,19065534
878,192717007,3247476
879,OMOP1035913,44041282
880,OMOP4703828,40753442
881,OMOP2060384,40862422
882,OMOP378308,21021052
883,OMOP717879,43648192
884,OMOP3112670,36261795
885,OMOP1148224,35414639
886,343651000009107,42598949
887,871928003,3656291
888,N0000188830,44507246
889,N0000022440,4281429
890,2122271,1511036
891,689681000168105,2969972
892,N0000187741,43561460
893,MMR VAR#2EXP,2000137483
894,N0000187348,43561067
895,N0000187686,43561405
896,N0000189019,44785957
897,N0000185927,43014495
898,N0000187559,43561278
899,831191000168101,43312842
900,N0000187417,43561136
901,N0000186380,43527474
902,N0000189018,44785956
903,N0000190304,44815237
904,959031000168106,2983054
905,N0000185301,42874586
906,N0000187489,43561208
907,N0000186790,43527754
908,65A1.00,45419007
909,501810042,46246167
910,OMOP144512,44571385
911,OMOP707984,43624857
912,OMOP1145017,35411432
913,471331000124109,601821
914,1099391000000103,36685569
915,2122274,1511038
916,OMOP157217,44546772
917,OMOP707899,43661229
918,OMOP3125680,36274805
919,OMOP2404180,41206218
920,OMOP2341633,41143671
921,OMOP149977,44647455
922,OMOP2019652,40821690
923,OMOP717877,43719905
924,OMOP955950,43855698
925,376400,40065975
926,1292438,42799823
927,804186,19131658
928,871765008,3663276
929,871908002,3656277
930,OMOP1148158,35414573
931,N0000187488,43561207
932,N0000188135,43561854
933,34938511000001103,40694000
934,N0000188026,43561745
935,N0000187972,43561691
936,MMR VAR#1BY,2000137474
937,N0000190387,44815233
938,N0000187327,43561046
939,N0000189575,44814799
940,MTHU006964,42552526
941,N0000187504,43561223
942,N0000188040,43561759
943,N0000189561,44814916
944,N0000187615,43561334
945,831181000168104,43333696
946,147682008,40314554
947,572511000119105,35621721
948,148491002,40310267
949,47435007,3388653
950,OMOP1093644,44099013
951,OMOP1040121,44045490
952,OMOP955943,43765443
953,OMOP955966,43729547
954,OMOP1061998,44067367
955,OMOP1103122,44108491
956,OMOP707907,43732944
957,OMOP1148206,35414621
958,OMOP1127486,44132855
959,OMOP719239,43756062
960,805488,40153887
961,OMOP992661,36894420
962,OMOP719167,43630196
963,OMOP1148207,35414622
964,419550004,4306320
965,227063c4-4503-4b40-ac4b-5ff64730ae82,36324954
966,N0000184413,42704770
967,N0000189769,44815645
968,N0000187445,43561164
969,N0000189158,44786096
970,N0000187588,43561307
971,N0000185255,42874540
972,688801000168109,2969976
973,N0000189046,44785984
974,N0000189809,44815080
975,MMR #1,2000137446
976,MMR #3,2000137462
977,N0000185241,42874526
978,N0000185254,42874539
979,N0000190403,44815178
980,79410,45923158
981,1b8e730d-9e84-4f58-8ec3-581a79cf97d9,1766690
982,34924711000001102,40693999
983,148491002,3100146
984,OMOP113028,44531045
985,6669,594249
986,6406200,45008294
987,6470900,44872164
988,"Measles, Mumps, and Rubella Virus Vaccine",2000106071
989,OMOP955941,43657796
990,OMOP955940,43855697
991,OMOP164367,44589360
992,OMOP3096300,36404258
